Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.803256,90.419844,3200,4,4,200000
1,23.803256,90.419844,3200,4,4,200000
1,23.863289,90.403481,1500,3,3,30000
1,23.750191,90.365664,1400,3,3,27000
1,23.750421,90.400147,900,2,2,25000
1,23.866179409909,90.398411367983,1370,3,4,30000
1,23.876277,90.387987,1600,3,4,65000
1,23.795834,90.390571,750,2,1,10000
1,23.750769,90.386965,900,3,3,30000
1,23.863289,90.403481,2200,4,4,50000
1,23.866179409909,90.398411367983,1500,3,3,30000
1,23.818218,90.427297,1700,3,3,30000
1,23.818218,90.427297,1700,3,3,30000
1,23.7897,90.372253,1200,3,2,19000
1,23.765011,90.346768,1250,3,3,18000
1,23.822702,90.442058,1970,3,4,32000
1,23.761526,90.43445,1075,3,2,21600
1,23.774379,90.412509,2550,4,5,60000
1,23.788729,90.400847,2200,3,3,70000
1,23.789054,90.401712,2048,3,3,70000
1,23.859993,90.371694,1800,3,3,30000
1,23.801172,90.347604,1200,3,3,20000
1,23.801172,90.347604,1200,3,3,20000
1,23.822702,90.442058,1300,3,3,22000
1,23.822702,90.442058,1800,3,4,25000
1,23.822702,90.442058,1800,3,4,25000
1,23.865458,90.390566,900,2,2,20000
1,23.863289,90.403481,1500,3,3,35000
1,23.795805,90.414203,2200,3,3,90000
1,23.7429942,90.3864555,2250,3,3,37000
1,23.883581,90.389312,1300,3,3,20000
1,23.795805,90.414203,3000,4,4,135000
1,23.759029,90.365737,2700,3,3,60000
1,23.82005,90.38908,1100,3,3,17000
1,23.813808,90.41365,1500,3,3,57000
1,23.804695,90.381094,1872,3,3,27000
1,23.837387,90.369139,1250,3,3,25000
1,23.803256,90.419844,2900,3,3,100000
1,23.865458,90.390566,1400,3,3,30000
1,23.797748,90.38279,1300,3,3,25000
1,23.797748,90.38279,1200,3,3,25000
1,23.797748,90.38279,1400,3,3,25000
1,23.876277,90.387987,1020,2,2,19500
1,23.808462,90.37748,900,3,2,15000
1,23.803256,90.419844,2400,3,3,100000
